s_no,source_path,audience,domain,layer,target_path,file_header,docstring,existing_hoc_path,auto_status,audit_status,audit_notes,action
1,app/adapters/__init__.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/__init__.py,"# Layer: L3 — Boundary Adapters\n# Product: system-wide\n# Role: Package for L3 boundary adapters\n# Reference: PIN-258 Phase F\n\n""""""\nL3 Boundary Adapters Package\n\nThis package contains L3 boundary adapters that translate between:\n- L2 (API routes) - request handlers\n- L4 (Domain commands) - domain decisions\n\nAdapters must:\n- Only import from L4 and L6\n- Never import from L1, L2, or L5","\nL3 Boundary Adapters Package\n\nThis package contains L3 boundary adapters that translate between:\n- L2 (API routes) - request handlers\n- L4 (Domain commands) - domain decisions\n\nAdapters must:\n- Only import from L4 and L6\n- Never import from L1, L2, or L5\n- Translate requests, not make domain decisions\n- Be thin (<200 LOC typically)\n",,NEEDS_CLASSIFICATION,ITERATION_1,HOC version already exists,SKIP_HOC_EXISTS
2,app/adapters/customer_activity_adapter.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/customer_activity_adapter.py,"# Layer: L3 — Boundary Adapter\n# Product: ai-console (Customer Console)\n# Temporal:\n#   Trigger: api\n#   Execution: sync (delegates to L4)\n# Role: Customer activity boundary adapter (L2 → L3 → L4)\n# Callers: L2 activity routes\n# Allowed Imports: L4\n# Forbidden Imports: L1, L2, L5, L6\n# Reference: ACTIVITY Domain Qualification Task\n#\n# GOVERNANCE NOTE:\n# This L3 adapter is TRANSLATION ONLY. It enforces:\n# - Tenant scoping (customer can only see their own data)\n# - Customer-safe schema (no internal fields exposed)",\nCustomer Activity Boundary Adapter (L3)\n\nThis adapter sits between L2 (Activity API routes) and L4 (CustomerActivityReadService).\n\nL2 (API) → L3 (this adapter) → L4 (CustomerActivityReadService)\n\nThe adapter:\n1. Receives API requests with tenant context\n2. Enforces tenant isolation (customer can only see their own activities)\n3. Transforms to customer-safe schema (no internal fields)\n4. Delegates to L4 service\n5. Returns customer-friendly results to L2\n\nThis is a thin translation layer - no bus,,NEEDS_CLASSIFICATION,ITERATION_1,L3 Adapter,TRANSFER
3,app/adapters/customer_incidents_adapter.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/customer_incidents_adapter.py,"# Layer: L3 — Boundary Adapter\n# Product: ai-console (Customer Console)\n# Temporal:\n#   Trigger: api\n#   Execution: sync (delegates to L4)\n# Role: Customer incidents boundary adapter (L2 → L3 → L4)\n# Callers: guard.py (L2) — to be wired\n# Allowed Imports: L4\n# Forbidden Imports: L1, L2, L5, L6\n# Reference: PIN-280, PIN-281 (L2 Promotion Governance - PHASE 1 L3 Closure)\n#\n# GOVERNANCE NOTE:\n# This L3 adapter is TRANSLATION ONLY. It enforces:\n# - Tenant scoping (customer can only see their own incidents)\n# - Customer-safe schema (calm vocabulary per M29)","\nCustomer Incidents Boundary Adapter (L3)\n\nThis adapter sits between L2 (guard.py API) and L4 (services).\n\nL2 (Guard API) → L3 (this adapter) → L4 (IncidentReadService/IncidentWriteService)\n\nThe adapter:\n1. Receives API requests with tenant context\n2. Enforces tenant isolation\n3. Transforms to customer-safe schema (calm vocabulary)\n4. Delegates to L4 services (no L6 access)\n5. Returns customer-friendly results\n\nReference: PIN-280 (L2 Promotion Governance), PIN-281 (PHASE 1 L3 Closure)\n",,NEEDS_CLASSIFICATION,ITERATION_1,L3 Adapter,TRANSFER
4,app/adapters/customer_keys_adapter.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/customer_keys_adapter.py,"# Layer: L3 — Boundary Adapter\n# Product: ai-console (Customer Console)\n# Temporal:\n#   Trigger: api\n#   Execution: sync (delegates to L4)\n# Role: Customer API keys boundary adapter (L2 → L3 → L4)\n# Callers: guard.py (L2) — to be wired\n# Allowed Imports: L4\n# Forbidden Imports: L1, L2, L5, L6\n# Reference: PIN-280, PIN-281 (L2 Promotion Governance - PHASE 1 L3 Closure)\n#\n# GOVERNANCE NOTE:\n# This L3 adapter is TRANSLATION ONLY. It enforces:\n# - Tenant scoping (customer can only see their own API keys)\n# - Customer-safe schema (no full key value exposed)","\nCustomer Keys Boundary Adapter (L3)\n\nThis adapter sits between L2 (guard.py API) and L4 (services).\n\nL2 (Guard API) → L3 (this adapter) → L4 (KeysReadService/KeysWriteService)\n\nThe adapter:\n1. Receives API requests with tenant context\n2. Enforces tenant isolation\n3. Transforms to customer-safe schema (prefix only, no full key)\n4. Delegates to L4 services (no L6 access)\n\nReference: PIN-280 (L2 Promotion Governance), PIN-281 (PHASE 1 L3 Closure)\n",,NEEDS_CLASSIFICATION,ITERATION_1,L3 Adapter,TRANSFER
5,app/adapters/customer_killswitch_adapter.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/customer_killswitch_adapter.py,"# Layer: L3 — Boundary Adapter\n# Product: ai-console (Customer Console)\n# Temporal:\n#   Trigger: api\n#   Execution: sync (delegates to L4)\n# Role: Customer killswitch boundary adapter (L2 → L3 → L4)\n# Callers: guard.py (L2)\n# Allowed Imports: L4\n# Forbidden Imports: L1, L2, L5, L6\n# Reference: PIN-280, PIN-281 (L2 Promotion Governance)\n#\n# GOVERNANCE NOTE:\n# This L3 adapter is TRANSLATION ONLY. It enforces:\n# - Tenant scoping (customer can only control their own killswitch)\n# - Customer-safe schema (no internal state details)","\nCustomer Killswitch Boundary Adapter (L3)\n\nThis adapter sits between L2 (guard.py API) and L4 services.\n\nL2 (Guard API) → L3 (this adapter) → L4 (CustomerKillswitchReadService, GuardWriteService)\n\nThe adapter:\n1. Receives API requests with tenant context\n2. Enforces tenant isolation\n3. Delegates to L4 for all operations\n4. Transforms results to customer-safe DTOs\n\nReference: PIN-280 (L2 Promotion Governance), PIN-281 (Claude Task TODO)\n",,NEEDS_CLASSIFICATION,ITERATION_1,L3 Adapter,TRANSFER
6,app/adapters/customer_logs_adapter.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/customer_logs_adapter.py,"# Layer: L3 — Boundary Adapter\n# Product: ai-console (Customer Console)\n# Temporal:\n#   Trigger: api\n#   Execution: async (delegates to L4)\n# Role: Customer logs boundary adapter (L2 → L3 → L4)\n# Callers: guard_logs.py (L2)\n# Allowed Imports: L4\n# Forbidden Imports: L1, L2, L5, L6\n# Reference: PIN-280, PIN-281 (L2 Promotion Governance - PHASE 1 L3 Closure)\n#\n# GOVERNANCE NOTE:\n# This L3 adapter is TRANSLATION ONLY. It enforces:\n# - Tenant scoping (customer can only see their own data)\n# - Customer-safe schema (no internal fields exposed)","\nCustomer Logs Boundary Adapter (L3)\n\nThis adapter sits between L2 (guard_logs.py API) and L4 (LogsReadService).\n\nL2 (Guard API) → L3 (this adapter) → L4 (LogsReadService)\n\nThe adapter:\n1. Receives API requests with tenant context\n2. Enforces tenant isolation (customer can only see their own logs)\n3. Transforms to customer-safe schema (no internal fields)\n4. Delegates to L4 service\n5. Returns customer-friendly results to L2\n\nThis is a thin translation layer - no business logic, no domain decisio",,NEEDS_CLASSIFICATION,ITERATION_1,L3 Adapter,TRANSFER
7,app/adapters/customer_policies_adapter.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/customer_policies_adapter.py,"# Layer: L3 — Boundary Adapter\n# Product: ai-console (Customer Console)\n# Temporal:\n#   Trigger: api\n#   Execution: sync (delegates to L4)\n# Role: Customer policies boundary adapter (L2 → L3 → L4)\n# Callers: guard_policies.py (L2)\n# Allowed Imports: L4\n# Forbidden Imports: L1, L2, L5, L6\n# Reference: PIN-280, PIN-281 (L2 Promotion Governance)\n#\n# GOVERNANCE NOTE:\n# This L3 adapter is TRANSLATION ONLY. It enforces:\n# - Tenant scoping (customer can only see their own policies)\n# - Customer-safe schema (no internal threshold logic exposed)","\nCustomer Policies Boundary Adapter (L3)\n\nThis adapter sits between L2 (guard_policies.py API) and L4 (CustomerPolicyReadService).\n\nL2 (Guard API) → L3 (this adapter) → L4 (CustomerPolicyReadService)\n\nThe adapter:\n1. Receives API requests with tenant context\n2. Enforces tenant isolation\n3. Transforms to customer-safe policy view\n4. Delegates to L4 service\n5. Returns customer-friendly policy constraints to L2\n\nThis is a thin translation layer - no policy evaluation logic, no direct DB access.\n\nRe",,NEEDS_CLASSIFICATION,ITERATION_1,L3 Adapter,TRANSFER
8,app/adapters/file_storage/__init__.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/__init__.py,"# Layer: L3 — Boundary Adapters\n# Product: system-wide\n# Temporal:\n#   Trigger: api\n#   Execution: async\n# Role: File storage adapters for object storage\n# Callers: DataIngestionExecutor, ExportService\n# Allowed Imports: L4, L6\n# Forbidden Imports: L1, L2\n# Reference: GAP-147, GAP-148 (File Storage Adapters)\n\n""""""\nFile Storage Adapters (GAP-147, GAP-148)\n\nProvides adapters for object storage:","\nFile Storage Adapters (GAP-147, GAP-148)\n\nProvides adapters for object storage:\n- AWS S3 (GAP-147)\n- Google Cloud Storage (GAP-148)\n\nFeatures:\n- Unified interface for file operations\n- Streaming upload/download\n- Presigned URLs\n- Multipart upload\n",,NEEDS_CLASSIFICATION,ITERATION_1,HOC version already exists,SKIP_HOC_EXISTS
9,app/adapters/file_storage/base.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/file_storage_base.py,"# Layer: L3 — Boundary Adapters\n# Product: system-wide\n# Temporal:\n#   Trigger: api\n#   Execution: async\n# Role: Base class for file storage adapters\n# Callers: File storage adapter implementations\n# Allowed Imports: L4, L6\n# Forbidden Imports: L1, L2\n# Reference: GAP-147, GAP-148\n\n""""""\nFile Storage Base Adapter\n\nProvides abstract interface for file storage operations.",\nFile Storage Base Adapter\n\nProvides abstract interface for file storage operations.\nAll file storage adapters must implement this interface.\n,,NEEDS_CLASSIFICATION,ITERATION_1,In adapters/ subdir,TRANSFER
10,app/adapters/file_storage/gcs_adapter.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/gcs_adapter.py,"# Layer: L3 — Boundary Adapters\n# Product: system-wide\n# Temporal:\n#   Trigger: api\n#   Execution: async\n# Role: Google Cloud Storage file storage adapter\n# Callers: DataIngestionExecutor, ExportService\n# Allowed Imports: L4, L6\n# Forbidden Imports: L1, L2\n# Reference: GAP-148 (GCS File Storage Adapter)\n\n""""""\nGoogle Cloud Storage File Storage Adapter (GAP-148)\n\nProvides integration with Google Cloud Storage:",\nGoogle Cloud Storage File Storage Adapter (GAP-148)\n\nProvides integration with Google Cloud Storage:\n- Bucket operations\n- Resumable uploads for large files\n- Signed URLs\n- Object lifecycle management\n,,NEEDS_CLASSIFICATION,ITERATION_1,L3 Adapter,TRANSFER
11,app/adapters/file_storage/s3_adapter.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/s3_adapter.py,"# Layer: L3 — Boundary Adapters\n# AUDIENCE: INTERNAL\n# PHASE: W3\n# Product: system-wide\n# Temporal:\n#   Trigger: api\n#   Execution: async\n# Role: AWS S3 file storage adapter\n# Callers: DataIngestionExecutor, ExportService\n# Allowed Imports: L4, L6\n# Forbidden Imports: L1, L2\n# Reference: GAP-147 (S3 File Storage Adapter)\n\n""""""\nAWS S3 File Storage Adapter (GAP-147)",\nAWS S3 File Storage Adapter (GAP-147)\n\nProvides integration with AWS S3:\n- Bucket operations\n- Multipart upload for large files\n- Presigned URLs\n- Server-side encryption\n,,NEEDS_CLASSIFICATION,ITERATION_1,L3 Adapter,TRANSFER
12,app/adapters/founder_contract_review_adapter.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/founder_contract_review_adapter.py,"# Layer: L3 — Boundary Adapter\n# Product: system-wide (Part-2 CRM Workflow)\n# Temporal:\n#   Trigger: api\n#   Execution: sync\n# Role: Translate Contract domain models to Founder Review views\n# Callers: founder_review.py (L2)\n# Allowed Imports: L4, L6\n# Forbidden Imports: L1, L2, L5\n# Reference: PIN-293, PART2_CRM_WORKFLOW_CHARTER.md, part2-design-v1\n\n""""""\nFounder Review Adapter (L3)\n\nTranslates L4 Contract domain models to Founder-facing review views.",\nFounder Review Adapter (L3)\n\nTranslates L4 Contract domain models to Founder-facing review views.\n\nL4 (ContractService) → L3 (this adapter) → L2 (founder_review.py)\n\nThe adapter:\n1. Receives ContractState domain models from L4\n2. Selects/renames fields for Founder audience\n3. Returns FounderReviewView for L2\n\nHARD RULES (from PART2_CRM_WORKFLOW_CHARTER.md):\n- NO business logic (that's L4's job)\n- NO state transitions (that's L4's job)\n- NO eligibility decisions (that's L4's job)\n- NO permission,,NEEDS_CLASSIFICATION,ITERATION_1,L3 Adapter,TRANSFER
13,app/adapters/founder_ops_adapter.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/founder_ops_adapter.py,"# Layer: L3 — Boundary Adapter\n# Product: system-wide (ops visibility)\n# Temporal:\n#   Trigger: api\n#   Execution: sync\n# Role: Translate OpsIncident domain models to Founder-facing views\n# Callers: ops.py (L2)\n# Allowed Imports: L4, L6\n# Forbidden Imports: L1, L2, L5\n# Reference: PIN-264 (Phase-S L3 Adapter)\n\n""""""\nFounder Ops Adapter (L3)\n\nTranslates L4 OpsIncident domain models to Founder-facing API views.",\nFounder Ops Adapter (L3)\n\nTranslates L4 OpsIncident domain models to Founder-facing API views.\n\nL4 (OpsIncidentService) → L3 (this adapter) → L2 (ops.py)\n\nThe adapter:\n1. Receives OpsIncident domain models from L4\n2. Selects/renames fields for Founder audience\n3. Applies minimal redaction if needed\n4. Returns FounderIncidentSummaryView for L2\n\nHARD RULES (from PIN-264):\n- NO infra queries (that's L4's job)\n- NO aggregation (that's L4's job)\n- NO permissions logic (that's L2's job)\n- NO paginati,,NEEDS_CLASSIFICATION,ITERATION_1,L3 Adapter,TRANSFER
14,app/adapters/notifications/__init__.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/__init__.py,"# Layer: L3 — Boundary Adapters\n# Product: system-wide\n# Temporal:\n#   Trigger: api\n#   Execution: async\n# Role: Notification adapters\n# Callers: NotificationService, AlertManager\n# Allowed Imports: L4, L6\n# Forbidden Imports: L1, L2\n# Reference: GAP-151, GAP-152, GAP-153 (Notification Adapters)\n\n""""""\nNotification Adapters (GAP-151, GAP-152, GAP-153)\n\nProvides adapters for sending notifications:","\nNotification Adapters (GAP-151, GAP-152, GAP-153)\n\nProvides adapters for sending notifications:\n- SMTP Email (GAP-151)\n- Slack (GAP-152)\n- Webhooks with Retry Logic (GAP-153)\n\nFeatures:\n- Unified interface for notification delivery\n- Retry logic with exponential backoff\n- Circuit breaker pattern\n- Rich message formatting\n",,NEEDS_CLASSIFICATION,ITERATION_1,HOC version already exists,SKIP_HOC_EXISTS
15,app/adapters/notifications/base.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/notifications_base.py,"# Layer: L3 — Boundary Adapters\n# Product: system-wide\n# Temporal:\n#   Trigger: api\n#   Execution: async\n# Role: Base class for notification adapters\n# Callers: Notification adapter implementations\n# Allowed Imports: L4, L6\n# Forbidden Imports: L1, L2\n# Reference: GAP-151, GAP-152, GAP-153\n\n""""""\nNotification Base Adapter\n\nProvides abstract interface for notification operations.",\nNotification Base Adapter\n\nProvides abstract interface for notification operations.\nAll notification adapters must implement this interface.\n,,NEEDS_CLASSIFICATION,ITERATION_1,In adapters/ subdir,TRANSFER
16,app/adapters/notifications/slack_adapter.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/slack_adapter.py,"# Layer: L3 — Boundary Adapters\n# Product: system-wide\n# Temporal:\n#   Trigger: api\n#   Execution: async\n# Role: Slack notification adapter\n# Callers: NotificationService, AlertManager\n# Allowed Imports: L4, L6\n# Forbidden Imports: L1, L2\n# Reference: GAP-152 (Slack Notification Adapter)\n\n""""""\nSlack Notification Adapter (GAP-152)\n\nProvides Slack notifications:",\nSlack Notification Adapter (GAP-152)\n\nProvides Slack notifications:\n- Channel and DM messaging\n- Rich message formatting (blocks)\n- File uploads\n- Thread replies\n,,NEEDS_CLASSIFICATION,ITERATION_1,L3 Adapter,TRANSFER
17,app/adapters/notifications/smtp_adapter.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/smtp_adapter.py,"# Layer: L3 — Boundary Adapters\n# Product: system-wide\n# Temporal:\n#   Trigger: api\n#   Execution: async\n# Role: SMTP email notification adapter\n# Callers: NotificationService, AlertManager\n# Allowed Imports: L4, L6\n# Forbidden Imports: L1, L2\n# Reference: GAP-151 (SMTP Notification Adapter)\n\n""""""\nSMTP Notification Adapter (GAP-151)\n\nProvides email notifications via SMTP:",\nSMTP Notification Adapter (GAP-151)\n\nProvides email notifications via SMTP:\n- Async email sending via aiosmtplib\n- HTML and plain text support\n- Attachment handling\n- Connection pooling\n,,NEEDS_CLASSIFICATION,ITERATION_1,L3 Adapter,TRANSFER
18,app/adapters/notifications/webhook_adapter.py,CUSTOMER,integrations,L3,app/houseofcards/customer/integrations/facades/webhook_adapter.py,"# Layer: L3 — Boundary Adapters\n# Product: system-wide\n# Temporal:\n#   Trigger: api\n#   Execution: async\n# Role: Webhook notification adapter with retry logic\n# Callers: NotificationService, AlertManager\n# Allowed Imports: L4, L6\n# Forbidden Imports: L1, L2\n# Reference: GAP-153 (Webhook Retry Logic)\n\n""""""\nWebhook Notification Adapter with Retry Logic (GAP-153)\n\nProvides webhook notifications with robust retry:",\nWebhook Notification Adapter with Retry Logic (GAP-153)\n\nProvides webhook notifications with robust retry:\n- Exponential backoff\n- Configurable retry policies\n- Circuit breaker pattern\n- Dead letter queue support\n,,NEEDS_CLASSIFICATION,ITERATION_1,L3 Adapter,TRANSFER
